attachment	http://fgw.sm.gov.cn/xxgk/gfxzql/202306/P020230612617169460933.pdf	11号[明审改办]关于动态调整行政审批中介服务事项清通知.pdf
image	http://fgw.sm.gov.cn/images/smsbm_fgw_logo_2023gb .png	
image	http://fgw.sm.gov.cn/images/babs.png	
