attachment	http://smjy.sm.gov.cn/gzhd/zxxhp/202607/P020260709370422106134.pdf	2026三元区义务教育招生工作方案.pdf
image	http://smjy.sm.gov.cn/images/smsbm_jyj_logo_2023gb .png	
image	http://smjy.sm.gov.cn/images/babs.png	
