attachment	http://smjy.sm.gov.cn/gzdt/jyxxh/202501/P020250108419318557290.pdf	2024年三明市教育局政府网站年度工作报表.pdf
image	http://smjy.sm.gov.cn/images/smsbm_jyj_logo_2023gb .png	
image	http://smjy.sm.gov.cn/images/babs.png	
