image	http://smkj.sm.gov.cn/images/smsbm_kjj_logo_2023gb .png	
image	http://smkj.sm.gov.cn/comps/images/sms_bm_jggk.png	
image	http://smkj.sm.gov.cn/images/babs.png	
link	http://220.160.52.252:8081/leader.do	福建省科技成果转移转化公共服务平台
