来源页面	附件URL	文件名	本地相对路径	大小	状态
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/t20211217_1738717.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/szfgz/202112/P020211217377382391020.pdf	P020211217377382391020.pdf	smsrmzfbgs/smsrmzf/szfgz/202112/1738717/attachments/P020211217377382391020.pdf	217751	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202601/t20260121_2185438.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202601/P020260121418828068138.ofd	P020260121418828068138.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202601/2185438/attachments/P020260121418828068138.ofd	31218	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202512/t20251212_2176393.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202512/P020251212603177686529.ofd	P020251212603177686529.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202512/2176393/attachments/P020251212603177686529.ofd	5629	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202511/t20251103_2166285.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202511/P020251103434241555929.ofd	P020251103434241555929.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202511/2166285/attachments/P020251103434241555929.ofd	18663	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202510/t20251020_2162665.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202510/P020251020545863068831.ofd	P020251020545863068831.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202510/2162665/attachments/P020251020545863068831.ofd	25669	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/t20250915_2154819.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/P020250915323158488030.ofd	P020250915323158488030.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/2154819/attachments/P020250915323158488030.ofd	5939	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/t20250915_2154807.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/P020250915318874938938.ofd	P020250915318874938938.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/2154807/attachments/P020250915318874938938.ofd	9601	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/t20250901_2151221.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/P020250901422621829289.ofd	P020250901422621829289.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202509/2151221/attachments/P020250901422621829289.ofd	25312	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202508/t20250812_2145681.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202508/P020250812326908960667.ofd	P020250812326908960667.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202508/2145681/attachments/P020250812326908960667.ofd	138330	done
https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202505/t20250509_2121880.htm	https://www.sm.gov.cn/smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202505/P020250509405581632570.ofd	P020250509405581632570.ofd	smsrmzfbgs/smsrmzf/zfxxgkml/fggzhgfxwj/202505/2121880/attachments/P020250509405581632570.ofd	166163	done
