attachment	http://smjy.sm.gov.cn/gzhd/zxxhp/202607/P020260709359397653568.pdf	2026.06.23定稿  三元区招生委员会关于做好2026年秋季城区公办幼儿园招生工作的通知.pdf
image	http://smjy.sm.gov.cn/images/smsbm_jyj_logo_2023gb .png	
image	http://smjy.sm.gov.cn/images/babs.png	
