attachment	http://fgw.sm.gov.cn/xxgk/gfxzql/202308/P020230803315379564088.pdf	三明市行政审批制度改革工作小组办公室关于公布三明市行政许可事项清单（2023年版）的通知.pdf
image	http://fgw.sm.gov.cn/images/smsbm_fgw_logo_2023gb .png	
image	http://fgw.sm.gov.cn/images/babs.png	
